MQ2,MQ3,MQ5,MQ8,MQ135
53,101,18,83,572
52,98,16,88,581
53,102,17,84,579
47,99,14,83,576
56,101,18,87,579
50,100,21,84,583
51,98,23,87,583
51,96,21,85,579
49,97,19,82,581
50,96,16,86,580
55,96,19,79,577
63,93,6,98,584
53,105,14,85,573
56,101,19,83,579
53,100,16,87,583
50,97,19,82,578
53,99,17,81,575
47,97,16,89,586
51,96,17,86,581
49,99,18,90,580
44,111,25,74,577
44,117,29,74,581
58,97,9,82,578
49,111,28,85,597
51,106,30,82,580
61,93,13,93,588
62,115,17,83,589
45,109,17,73,576
60,85,8,75,592
55,99,15,81,575
53,100,16,84,579
46,105,18,87,582
48,100,18,82,581
50,96,16,85,581
48,101,15,85,579
50,98,16,82,582
47,97,18,85,580
56,105,20,80,580
51,103,18,81,576
64,90,11,81,576
52,93,12,94,585
44,109,16,81,573
63,107,24,88,589
57,99,18,96,596
50,95,12,86,577
49,98,15,82,579
48,94,15,80,580
46,101,19,79,576
48,102,19,89,583
58,98,22,80,583
49,102,18,87,584
49,95,16,83,585
62,88,30,73,591
36,114,13,89,582
67,91,31,82,581
59,102,13,91,575
41,101,18,79,583
46,119,28,82,582
68,91,20,79,586
62,87,14,76,591
37,113,25,95,596
58,101,13,85,579
50,103,20,85,586
47,98,14,87,583
50,101,16,80,578
52,105,22,85,578
48,100,16,84,583
52,99,16,80,584
57,99,20,86,579
57,98,15,82,575
48,95,15,83,583
46,100,17,83,584
49,101,15,82,571
51,103,18,81,581
50,96,18,82,586
51,99,21,77,577
50,94,14,86,583
50,97,16,85,586
46,99,15,83,586
55,97,20,88,587
56,97,18,85,579
50,98,17,89,581
53,95,20,83,585
49,104,14,80,582
49,97,17,90,580
53,100,19,84,583
50,97,17,86,582
50,100,14,85,587
48,97,20,84,587
47,99,17,97,595
45,106,26,77,594
57,100,27,82,602
39,110,25,94,587
37,101,32,87,589
63,91,28,79,582
58,105,31,78,577
61,102,15,81,585
63,93,11,88,573
55,99,16,79,586
47,99,18,81,580
49,102,14,84,583
50,99,11,84,584
52,89,20,88,582
50,97,15,84,585
46,101,15,83,581
44,108,18,93,600
54,114,33,98,581
61,90,14,76,523
45,110,23,74,582
60,93,35,96,585
45,114,29,93,599
60,87,22,81,596
50,96,19,85,589
57,99,19,73,598
47,99,17,86,584
